uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
16115067-645b-44d5-bfbd-109906343b95,south_fork_0,2025-06-11 16:45:27,787.7,171.3,15.7,,,
0267dcbc-aec3-4449-9d24-3c0e8b0e251b,south_fork_0,2025-06-11 17:00:28,789.7,172.7,15.7,,,
28d781a1-2112-46ee-b9cc-2234bece6f1b,south_fork_0,2025-06-11 17:15:27,789.8,171.8,15.7,,,
d6a130a1-8ea7-4fa7-9b47-480b052ee589,south_fork_0,2025-06-11 17:30:27,790.8,172.0,15.78,,,
575fd0ab-95c9-4e62-93bd-5f85049c9005,south_fork_0,2025-06-11 17:45:28,791.2,173.0,15.8,,,
bf110257-c979-426d-94ef-8f83300126bb,south_fork_0,2025-06-11 18:00:27,791.8,172.2,15.8,,,
d7bfccf9-8acf-4ea7-a773-250e43d131c2,south_fork_0,2025-06-11 18:15:27,792.3,173.0,15.9,,,
97961224-4041-4f5b-80e5-78091b3b272c,south_fork_0,2025-06-11 18:30:27,792.7,172.3,16.0,,,
8c57f816-e579-48e6-a2f2-ede0ef7ae89d,south_fork_0,2025-06-11 18:45:27,793.5,174.2,16.0,,,
ed83422e-0ebe-46a0-aa68-35dcf5ba7878,south_fork_0,2025-06-11 19:00:27,794.7,174.2,16.2,,,
67321f11-de9b-49df-a6a0-48cef6e96efd,south_fork_0,2025-06-11 19:15:28,794.5,174.2,16.2,,,
9903e8f4-7f07-453b-9c6f-8cfb627b2857,south_fork_0,2025-06-11 19:30:28,795.2,174.0,16.2,,,
5a5d4bc5-5275-43bb-8321-03209ba47541,south_fork_0,2025-06-11 19:45:27,794.5,172.7,16.2,,,
921af680-989b-48da-86e9-133b1aaeacf4,south_fork_0,2025-06-11 20:00:28,781.8,182.2,16.2,,,
5d3619ad-b2a5-4c3b-ae99-65c01f65dd6f,south_fork_0,2025-06-11 20:15:28,752.2,175.2,16.6,,,
b7d66da8-26ea-401a-a6bd-c5b59e622eed,south_fork_0,2025-06-11 20:30:27,758.2,177.2,17.0,,,
30b74e98-9117-46ff-97ea-ee2eba80d1c9,south_fork_0,2025-06-11 20:45:27,776.8,175.5,16.8,,,
86b4d04b-232e-4643-9609-b773ff43e78b,south_fork_0,2025-06-11 21:00:28,787.0,174.0,16.6,,,
9819daab-d3a8-4b80-8a20-7cd27c0f3a53,south_fork_0,2025-06-11 21:15:28,792.0,173.3,16.5,,,
e532f78e-b707-4827-b92a-051fca9bdd17,south_fork_0,2025-06-11 21:30:28,794.2,174.3,16.4,,,
d3f4369f-1940-4ba5-a9f8-c50fae0bab81,south_fork_0,2025-06-11 21:45:28,796.0,172.8,16.4,,,
3006e9cf-2664-4ec2-8c75-8b28f5a95341,south_fork_0,2025-06-11 22:00:28,796.7,174.0,16.4,,,
2a27df5c-9a66-41bd-adf6-98c77ec30961,south_fork_0,2025-06-11 22:15:27,797.0,173.2,16.4,,,
e44c18df-108d-4f7f-a9ef-3dd02b4cf8fb,south_fork_0,2025-06-11 22:30:27,797.7,174.0,16.4,,,
d0835e96-a667-4d95-9321-d31d774dfeeb,south_fork_0,2025-06-11 22:45:27,796.8,174.5,16.5,,,
403013b9-742b-4b0e-b54d-745e7b07e2b0,south_fork_0,2025-06-11 23:00:27,797.5,174.5,16.5,,,
4bd345df-f172-4cdc-b0fd-956bff05d505,south_fork_0,2025-06-11 23:15:27,798.3,174.2,16.5,,,
f83dce94-cce0-4907-8f64-ee45ed1c74b5,south_fork_0,2025-06-11 23:30:28,797.5,174.0,16.5,,,
0b130fd3-67f7-4e05-8599-8395fd367adc,south_fork_0,2025-06-11 23:45:27,798.5,173.7,16.5,,,
88d4286d-2cfe-4891-993e-e04939357834,south_fork_0,2025-06-12 00:00:27,798.3,173.8,16.5,,,
ae1d766d-5a6e-4dc5-bdff-0684a95064a9,south_fork_0,2025-06-12 00:15:28,798.5,172.8,16.5,,,
c8863e27-ceb6-40e0-a8c8-d7c91eccb30a,south_fork_0,2025-06-12 00:30:27,798.3,173.5,16.5,,,
9f35b362-4843-4523-963d-bf54516e9611,south_fork_0,2025-06-12 00:45:27,797.2,173.0,16.5,,,
096106f8-d7c6-48c3-b0a8-3fa5a3aca6a0,south_fork_0,2025-06-12 01:00:28,799.2,172.8,16.5,,,
195ee853-c115-417c-9553-e93fbe9ce1ea,south_fork_0,2025-06-12 01:15:27,793.5,173.2,16.5,,,
fc3c122e-9e67-4dca-9dc1-352638644e47,south_fork_0,2025-06-12 01:30:28,788.5,172.0,16.2,,,
e2cac766-a581-43f2-bd85-bf174800b5d8,south_fork_0,2025-06-12 01:45:27,796.7,172.2,16.1,,,
4c31534f-b11b-438d-a1e1-1b1f6f23baec,south_fork_0,2025-06-12 02:00:28,795.7,172.2,16.0,,,
411c7db4-53c8-4095-a0b1-e756664ac54f,south_fork_0,2025-06-12 02:15:28,793.7,172.0,15.9,,,
49e531d8-5d6a-4b4f-822b-bae1960444d0,south_fork_0,2025-06-12 02:30:27,786.5,172.2,15.9,,,
3454639a-61df-4005-9f92-cb03553073dd,south_fork_0,2025-06-12 02:45:28,792.8,172.3,15.9,,,
ce4e8038-6f0f-49df-b320-f509c4106505,south_fork_0,2025-06-12 03:00:28,789.7,172.0,15.8,,,
8c40b335-5164-40e3-90f7-e49241447b27,south_fork_0,2025-06-12 03:15:27,789.2,172.7,15.8,,,
bdf2bd19-e9b8-4ebd-a835-ca5d77a15cea,south_fork_0,2025-06-12 03:30:27,791.8,171.5,15.8,,,
68b0c72a-0916-497a-91f2-02c6af3511a1,south_fork_0,2025-06-12 03:45:28,788.2,171.2,15.8,,,
a782f5e5-371e-41ad-b002-6dbc4efe017e,south_fork_0,2025-06-12 04:00:27,777.5,171.5,15.7,,,
ec3e0c89-7f80-40c0-90e5-77b49453c0c4,south_fork_0,2025-06-12 04:15:27,788.2,171.3,15.7,,,
248d9080-e609-41e9-8400-2961281576eb,south_fork_0,2025-06-12 04:30:27,794.2,171.5,15.7,,,
28f6f08d-7523-4d8c-bdf1-5d03d9a7a156,south_fork_0,2025-06-12 04:45:27,789.2,172.0,15.7,,,
8b7b8a42-b3fd-4f59-90ac-32bd0656f610,south_fork_0,2025-06-12 05:00:27,784.5,171.8,15.7,,,
1e64e806-35db-45b7-a5d4-ca427aa7c8bf,south_fork_0,2025-06-12 05:15:27,786.8,172.2,15.7,,,
f90464b0-5475-4d47-a94d-87f3d233a71c,south_fork_0,2025-06-12 05:30:27,788.0,173.2,15.7,,,
aa40b5ae-903f-47b7-b26c-8ac4c596d068,south_fork_0,2025-06-12 05:45:27,786.7,172.5,15.7,,,
0df2ea54-8523-45bd-913a-b92ea6be2c1b,south_fork_0,2025-06-12 06:00:27,787.7,171.8,15.7,,,
ba0343c4-9bd8-4acd-a278-33221e3d89e9,south_fork_0,2025-06-12 06:15:27,785.7,171.3,15.7,,,
